Name;Country;UN_regional_group;System_of_Government;First_day_in_office;Last_day_in_office;Alma_mater;Location;Field_of_study;Source;Access_date 
Gaston Alfonso Browne;Antigua and Barbuda;GRULAC;Parliamentarism;13/06/2014;-;City Banking College ;United Kingdom;Banking;https://web.archive.org/web/20140715095306/http://www.caricom.org/jsp/community/antigua_barbuda.jsp?null&prnf=1;08/11/2022
Gaston Alfonso Browne;Antigua and Barbuda;GRULAC;Parliamentarism;13/06/2014;-;University of Manchester;United Kingdom;Finance (MA);https://web.archive.org/web/20140715095306/http://www.caricom.org/jsp/community/antigua_barbuda.jsp?null&prnf=2;08/11/2022
Winston Baldwin Spencer ;Antigua and Barbuda;GRULAC;Parliamentarism;24/08/2004;13/06/2014;Coady International Institute ;Canada;Social Leadership ;http://www.caribbeanelections.com/knowledge/biography/bios/spencer_baldwin.asp;08/11/2022
Winston Baldwin Spencer ;Antigua and Barbuda;GRULAC;Parliamentarism;24/08/2004;13/06/2014;Ruskin College ;United Kingdom;Labour and Economic Studies ;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Winston Baldwin Spencer ;Antigua and Barbuda;GRULAC;Parliamentarism;24/08/2004;13/06/2014;Oslo University;Norway;Labour and Industrial Relation Systems ;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Lester Bryant Bird ;Antigua and Barbuda;GRULAC;Parliamentarism;09/03/1994;24/08/2004;University of Michigan;United States;-;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Vere Bird;Antigua and Barbuda;GRULAC;Parliamentarism;01/11/1981;09/03/1994;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/bird_vere.asp;08/11/2022
Mauricio Macri;Argentina;GRULAC;Presidentialism;10/12/2015;10/12/2019;Catholic University of Argentina;Argentina;Civil engineering ;https://www.casarosada.gob.ar/international/the-president/biography;08/11/2022
Mauricio Macri;Argentina;GRULAC;Presidentialism;10/12/2015;10/12/2019;Columbia University;United States;-;https://www.casarosada.gob.ar/international/the-president/biography;08/11/2022
Cristina Fernández de Kirchner;Argentina;GRULAC;Presidentialism;10/12/2007;10/12/2015;National University of La Plata;Argentina;Law;https://www.lanacion.com.ar/politica/bonadio-sobreseyo-a-cristina-kirchner-por-su-titulo-de-abogada-nid1906402/;08/11/2022
Néstor Kirchner;Argentina;GRULAC;Presidentialism;25/05/2003;10/12/2007;National University of La Plata;Argentina;Law;https://www.clarin.com/gobierno/chico-formado-implacables-vientos-sur_0_ByWmTQs6wQx.html;08/11/2022
Eduardo Duhalde;Argentina;GRULAC;Presidentialism;02/01/2002;25/05/2003;University of Buenos Aires;Argentina;Law;East, R., & Thomas, R.J. (2003). Profiles of People in Power: The World's Government Leaders (1st ed.). Routledge. https://doi.org/10.4324/9781315759517;08/11/2022
Adolfo Rodríguez Saá;Argentina;GRULAC;Presidentialism;23/12/2001;30/12/2001;University of Buenos Aires;Argentina;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/argentina/adolfo_rodriguez_saa;08/11/2022
Fernando de la Rúa;Argentina;GRULAC;Presidentialism;10/12/1999;21/12/2001;National University of Córdoba;Argentina;Law;https://www.lanacion.com.ar/politica/sereno-y-distante-de-la-rua-cuenta-por-que-se-fue-nid416029/;08/11/2022
Carlos Menem;Argentina;GRULAC;Presidentialism;08/07/1989;10/12/1995;National University of Córdoba;Argentina;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/argentina/carlos_menem;08/11/2022
Hubert Minnis;Bahamas, The;GRULAC;Parliamentarism;11/05/2017;17/09/2021;University of Minnesota ;United States;Biology;http://www.caribbeanelections.com/knowledge/biography/bios/minnis_hubert.asp;08/11/2022
Hubert Minnis;Bahamas, The;GRULAC;Parliamentarism;11/05/2017;17/09/2021;University of the West Indies;Jamaica;Medicine ;http://www.caribbeanelections.com/knowledge/biography/bios/minnis_hubert.asp;08/11/2022
Perry Gladstone Christie;Bahamas, The;GRULAC;Parliamentarism;08/05/2012;11/05/2017;Birmingham University;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/christie_perry.asp;08/11/2022
Hubert Ingraham;Bahamas, The;GRULAC;Parliamentarism;04/05/2007;08/05/2012;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/ingraham_hubert.asp;08/11/2022
Perry Gladstone Christie;Bahamas, The;GRULAC;Parliamentarism;03/04/2002;04/05/2007;Birmingham University;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/christie_perry.asp;08/11/2022
Hubert Ingraham;Bahamas, The;GRULAC;Parliamentarism;21/08/1992;03/05/2002;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/ingraham_hubert.asp;08/11/2022
Freundel Stuart;Barbados;GRULAC;Parliamentarism;23/10/2010;25/05/2018;University of the West Indies - Cave Hill;Barbados;Political Science and History ;http://www.caribbeanelections.com/knowledge/biography/bios/stuart_freundel.asp;08/11/2022
David Thompson;Barbados;GRULAC;Parliamentarism;16/01/2008;23/10/2010;University of the West Indies - Cave Hill;Barbados;Law;http://www.caribbeanelections.com/knowledge/biography/bios/thompson_david.asp;08/11/2022
David Thompson;Barbados;GRULAC;Parliamentarism;16/01/2008;23/10/2010;University of the West Indies - St. Augustine Campus;Trinidad and Tobago;Law;http://www.caribbeanelections.com/knowledge/biography/bios/thompson_david.asp;08/11/2022
Owen Seymour Arthur;Barbados;GRULAC;Parliamentarism;06/09/1994;15/01/2008;University of the West Indies - Cave Hill;Barbados;Economics;http://www.caribbeanelections.com/knowledge/biography/bios/arthur_owen.asp;08/11/2022
Lloyd Erskine Sandiford;Barbados;GRULAC;Parliamentarism;01/06/1987;06/09/1994;University of the West Indies in Jamaica;Jamaica;Bachelor of Arts in English;http://www.caribbeanelections.com/knowledge/biography/bios/sandiford_lloyd.asp;08/11/2022
Lloyd Erskine Sandiford;Barbados;GRULAC;Parliamentarism;01/06/1987;06/09/1994;University of Manchester;United Kingdom;Economics and social studies (MA);http://www.caribbeanelections.com/knowledge/biography/bios/sandiford_lloyd.asp;08/11/2022
Dean Oliver Barrow;Belize;GRULAC;Parliamentarism;08/02/2008;12/11/2020;University of the West Indies, Cave Hill ;Barbados;Law;http://www.caribbeanelections.com/knowledge/biography/bios/barrow_dean.asp;08/11/2022
Dean Oliver Barrow;Belize;GRULAC;Parliamentarism;08/02/2008;12/11/2020;Norman Manley Law School;Jamaica;Law;http://www.caribbeanelections.com/knowledge/biography/bios/barrow_dean.asp;08/11/2022
Dean Oliver Barrow;Belize;GRULAC;Parliamentarism;08/02/2008;12/11/2020;University of Miami;United States;Law;http://www.caribbeanelections.com/knowledge/biography/bios/barrow_dean.asp;08/11/2022
Dean Oliver Barrow;Belize;GRULAC;Parliamentarism;08/02/2008;12/11/2020;University of Miami ;United States;International Relations;http://www.caribbeanelections.com/knowledge/biography/bios/barrow_dean.asp;08/11/2022
Said Wilbert Musa ;Belize;GRULAC;Parliamentarism;28/08/1998;08/02/2008;University of Manchester ;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/musa_said.asp;08/11/2022
Manuel Amadeo Esquivel ;Belize;GRULAC;Parliamentarism;03/07/1993;30/08/1998;Loyola University New Orleans;United States;Bachelor of Science ;http://www.caribbeanelections.com/knowledge/biography/bios/esquivel_manuel.asp;08/11/2022
Manuel Amadeo Esquivel ;Belize;GRULAC;Parliamentarism;03/07/1993;30/08/1998;Bristol University;United Kingdom;-;http://www.caribbeanelections.com/knowledge/biography/bios/esquivel_manuel.asp;08/11/2022
George Cadle Price;Belize;GRULAC;Parliamentarism;07/09/1989;13/07/1993;Jesuit Minor Seminary at St. Augustine;United States;Theology;http://www.caribbeanelections.com/knowledge/biography/bios/price_george.asp;08/11/2022
George Cadle Price;Belize;GRULAC;Parliamentarism;07/09/1989;13/07/1993;Major Seminary in Guatemala City;Guatemala;Theology;http://www.caribbeanelections.com/knowledge/biography/bios/price_george.asp;08/11/2022
Juan Evo Morales Ayma;Bolivia;GRULAC;Presidentialism;22/01/2006;10/11/2019;-;-;-;Harten, Sven (2011). The Rise of Evo Morales and the MAS. London and New York: Zed Books. ISBN 978-1-84813-523-9.;08/11/2022
Eduardo Rodríguez Veltzé;Bolivia;GRULAC;Presidentialism;09/06/2005;22/01/2006;Universidad Mayor San Simón (UMSS);Bolivia;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/bolivia/eduardo_rodriguez_veltze;08/11/2022
Eduardo Rodríguez Veltzé;Bolivia;GRULAC;Presidentialism;09/06/2005;22/01/2006;Harvard University - Kennedy School of Government;United States;MA in Public Administration;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/bolivia/eduardo_rodriguez_veltze;08/11/2022
Carlos Diego de Mesa Gisbert;Bolivia;GRULAC;Presidentialism;17/10/2003;09/06/2005;Universidad Complutense de Madrid;Spain;Political Science ;https://www.bibliotecavirtualcarlosdmesa.com/curriculum/curriculum/1;08/11/2022
Carlos Diego de Mesa Gisbert;Bolivia;GRULAC;Presidentialism;17/10/2003;09/06/2005;Universidad Mayor de San Andrés (UMSA);Bolivia;Literature;https://www.bibliotecavirtualcarlosdmesa.com/curriculum/curriculum/1;08/11/2022
Gonzalo Sánchez de Lozada;Bolivia;GRULAC;Presidentialism;06/08/2002;17/10/2003;University of Chigago;United States;Literature and philosophy ;https://web.archive.org/web/20080831054853/http://www.presidencia.gov.bo/Presidentes_Bolivia/pr61.htm / https://www.historicly.net/p/like-water-for-capitalists;08/11/2022
Jorge Quiroga;Bolivia;GRULAC;Presidentialism;07/08/2001;06/08/2002;Texas A&M University;United States;Industrial Engineering ;https://www.aggienetwork.com/tribute/index/8-25/;08/11/2022
Jorge Quiroga;Bolivia;GRULAC;Presidentialism;07/08/2001;06/08/2002;Edward’s University ;United States;-;https://www.aggienetwork.com/tribute/index/8-25/;08/11/2022
Hugo Banzer;Bolivia;GRULAC;Presidentialism;06/08/1997;07/08/2001;Escuela de Altos Estudios Militares;Bolivia;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/bolivia/hugo_banzer_suarez;08/11/2022
Hugo Banzer;Bolivia;GRULAC;Presidentialism;06/08/1997;07/08/2001;Armored Cavalry School;United States;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/bolivia/hugo_banzer_suarez;08/11/2022
Hugo Banzer;Bolivia;GRULAC;Presidentialism;06/08/1997;07/08/2001;School of the Americas;United States;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/bolivia/hugo_banzer_suarez;08/11/2022
Gonzalo Sánchez de Lozada;Bolivia;GRULAC;Presidentialism;06/08/1993;06/08/1997;University of Chigago;United States;Literature and philosophy ;https://web.archive.org/web/20080831054853/http://www.presidencia.gov.bo/Presidentes_Bolivia/pr61.htm / https://www.historicly.net/p/like-water-for-capitalists;08/11/2022
Jaime Paz Zamora;Bolivia;GRULAC;Presidentialism;06/08/1989;06/08/1993;Université catholique de Louvain ;Belgium;Social sciences;https://www.biografiasyvidas.com/biografia/p/paz_zamora.htm;08/11/2022
Michel Temer;Brazil;GRULAC;Presidentialism;31/08/2016;31/12/2018;Universidade de São Paulo (USP);Brazil;Law;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/michel-miguel-elias-temer-lulia;08/11/2022
Michel Temer;Brazil;GRULAC;Presidentialism;31/08/2016;31/12/2018;Pontifícia Universidade Católica de São Paulo (PUC-SP);Brazil;Law;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/michel-miguel-elias-temer-lulia;08/11/2022
Dilma Vana Rousseff ;Brazil;GRULAC;Presidentialism;01/01/2011;31/08/2016;Universidade Federal do Rio Grande do Sul (UFRGS);;Economics;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/dilma-vana-rousseff;08/11/2022
Luiz Inácio Lula da Silva;Brazil;GRULAC;Presidentialism;01/01/2003;31/12/2010;-;-;-;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/luis-inacio-da-silva;08/11/2022
Fernando Henrique Cardoso;Brazil;GRULAC;Presidentialism;01/01/1995;31/12/2002;Universidade de São Paulo (USP);Brazil;Social sciences;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/cardoso-fernando-henrique;08/11/2022
Fernando Henrique Cardoso;Brazil;GRULAC;Presidentialism;01/01/1995;31/12/2002;Universidade de São Paulo (USP);Brazil;Social sciences (PhD);https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/cardoso-fernando-henrique;08/11/2022
Fernando Henrique Cardoso;Brazil;GRULAC;Presidentialism;01/01/1995;31/12/2002;Université de Paris ;France;-;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/cardoso-fernando-henrique;08/11/2022
Itamar Franco;Brazil;GRULAC;Presidentialism;29/12/1992;31/12/1994;Universidade Federal de Juiz de Fora;Brazil;Bachelor of Engineering;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/itamar-augusto-cautiero-franco;08/11/2022
Fernando Collor de Mello;Brazil;GRULAC;Presidentialism;15/03/1990;29/12/1992;Universidade de Brasília ;Brazil;Economics;https://www18.fgv.br/CPDOC/acervo/dicionarios/verbete-biografico/collor-fernando;08/11/2022
Michelle Bachelet;Chile;GRULAC;Presidentialism;01/09/2018;31/08/2022;Humboldt University of Berlin;Germany;Medicine (unfinished);https://web.archive.org/web/20060212125355/http://www.lanacion.cl/prontus_noticias/site/artic/20060116/pags/20060116011432.html;08/11/2022
Michelle Bachelet;Chile;GRULAC;Presidentialism;01/09/2018;31/08/2022;Universidad de Chile;Chile;Medicine ;https://web.archive.org/web/20060212125355/http://www.lanacion.cl/prontus_noticias/site/artic/20060116/pags/20060116011432.html;08/11/2022
Sebastián Piñera;Chile;GRULAC;Presidentialism;11/03/2010;11/03/2014;Pontificia Universidad Católica de Chile ;Chile;Economics;https://www.buscabiografias.com/biografia/verDetalle/9748/Miguel%20Juan%20Sebastian%20Pinera%20Echenique;08/11/2022
Sebastián Piñera;Chile;GRULAC;Presidentialism;11/03/2010;11/03/2014;Harvard University;United States;Economics (MA);https://www.buscabiografias.com/biografia/verDetalle/9748/Miguel%20Juan%20Sebastian%20Pinera%20Echenique;08/11/2022
Sebastián Piñera;Chile;GRULAC;Presidentialism;11/03/2010;11/03/2014;Harvard University;United States;Economics (PhD);https://www.buscabiografias.com/biografia/verDetalle/9748/Miguel%20Juan%20Sebastian%20Pinera%20Echenique;08/11/2022
Michelle Bachelet;Chile;GRULAC;Presidentialism;11/03/2006;11/03/2010;Humboldt University of Berlin;Germany;Medicine (unfinished);https://web.archive.org/web/20060212125355/http://www.lanacion.cl/prontus_noticias/site/artic/20060116/pags/20060116011432.html;08/11/2022
Michelle Bachelet;Chile;GRULAC;Presidentialism;11/03/2006;11/03/2010;Universidad de Chile;Chile;Medicine ;https://web.archive.org/web/20060212125355/http://www.lanacion.cl/prontus_noticias/site/artic/20060116/pags/20060116011432.html;08/11/2022
Ricardo Froilán Lagos Escobar;Chile;GRULAC;Presidentialism;11/03/2000;11/03/2006;Universidad de Chile;Chile;Law;https://www.biografiasyvidas.com/biografia/l/lagos_ricardo.htm;08/11/2022
Ricardo Froilán Lagos Escobar;Chile;GRULAC;Presidentialism;11/03/2000;11/03/2006;Duke University;United States;Economics (Phd);https://www.biografiasyvidas.com/biografia/l/lagos_ricardo.htm;08/11/2022
Eduardo Frei Ruiz-Tagle;Chile;GRULAC;Presidentialism;11/03/1994;11/03/2000;Universidad de Chile;Chile;Civil engineering ;https://web.archive.org/web/20160304200006/http://diario.elmercurio.cl/detalle/index.asp?id=%7B40c65d0a-afcd-405b-a13f-865e446944f4%7D;08/11/2022
Patricio Aylwin;Chile;GRULAC;Presidentialism;11/03/1990;11/03/1994;Universidad de Chile;Chile;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/chile/patricio_aylwin_azocar;08/11/2022
Juan Manuel Santos;Colombia;GRULAC;Presidentialism;07/08/2010;07/08/2018;Escuela Naval de Cadetes Almirante Padilla de Cartagena de Indias;Colombia;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/juan_manuel_santos_calderon;08/11/2022
Juan Manuel Santos;Colombia;GRULAC;Presidentialism;07/08/2010;07/08/2018;University of Kansas;United States;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/juan_manuel_santos_calderon;08/11/2022
Juan Manuel Santos;Colombia;GRULAC;Presidentialism;07/08/2010;07/08/2018;London School of Economics;United Kingdom;Economic development and public administration;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/juan_manuel_santos_calderon;08/11/2022
Juan Manuel Santos;Colombia;GRULAC;Presidentialism;07/08/2010;07/08/2018;Harvard University - Kennedy School of Government;United States;Journalism;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/juan_manuel_santos_calderon;08/11/2022
Juan Manuel Santos;Colombia;GRULAC;Presidentialism;07/08/2010;07/08/2018;Tufts University ;United States;Law and Diplomacy;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/juan_manuel_santos_calderon;08/11/2022
Álvaro Uribe;Colombia;GRULAC;Presidentialism;07/08/2002;07/08/2010;Universidad de Antioquia;Colombia;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/alvaro_uribe_velez;08/11/2022
Álvaro Uribe;Colombia;GRULAC;Presidentialism;07/08/2002;07/08/2010;Harvard University;United States;Administration;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/alvaro_uribe_velez;08/11/2022
Andrés Pastrana Arango;Colombia;GRULAC;Presidentialism;07/08/1998;07/08/2002;Colegio Mayor Nuestra Señora del Rosario;Colombia;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/andres_pastrana_arango;08/11/2022
Andrés Pastrana Arango;Colombia;GRULAC;Presidentialism;07/08/1998;07/08/2002;Harvard University;United States;Public Law (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/andres_pastrana_arango;08/11/2022
Ernesto Samper Pizano;Colombia;GRULAC;Presidentialism;07/08/1994;07/08/1998;Universidad Javeriana;Colombia;Law and Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/ernesto_samper_pizano;08/11/2022
Ernesto Samper Pizano;Colombia;GRULAC;Presidentialism;07/08/1994;07/08/1998;Columbia University;United States;Law and Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/ernesto_samper_pizano;08/11/2022
César Augusto Gaviria Trujillo ;Colombia;GRULAC;Presidentialism;07/08/190;07/08/1994;Universidad de los Andes;Colombia;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/colombia/cesar_gaviria_trujillo/(language)/esl-ES;08/11/2022
Luis Guillermo Solís;Costa Rica;GRULAC;Presidentialism;08/05/2014;08/08/2018;Universidad de Costa Rica (UCR);Costa Rica;History;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/luis_guillermo_solis_rivera#1;08/11/2022
Luis Guillermo Solís;Costa Rica;GRULAC;Presidentialism;08/05/2014;08/08/2018;Tulane University;United States;Latin American Studies (MA);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/luis_guillermo_solis_rivera#1;08/11/2022
Laura Chinchilla;Costa Rica;GRULAC;Presidentialism;08/05/2010;08/05/2014;Universidad de Costa Rica;Costa Rica;Political Science;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/laura_chinchilla_miranda;08/11/2022
Laura Chinchilla;Costa Rica;GRULAC;Presidentialism;08/05/2010;08/05/2014;Georgetown University;United States;Public Administration (MA);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/laura_chinchilla_miranda;08/11/2022
Óscar Arias;Costa Rica;GRULAC;Presidentialism;08/05/2006;08/05/2010;Harvard Medical School ;United States;Medicine (unfinished);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/oscar_arias_sanchez;08/11/2022
Óscar Arias;Costa Rica;GRULAC;Presidentialism;08/05/2006;08/05/2010;Universidad de Costa Rica;Costa Rica;Law and Economics;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/oscar_arias_sanchez;08/11/2022
Óscar Arias;Costa Rica;GRULAC;Presidentialism;08/05/2006;08/05/2010;Essex University;United Kingdom;Political Science (PhD);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/oscar_arias_sanchez;08/11/2022
Abel Pacheco de la Espriella ;Costa Rica;GRULAC;Presidentialism;08/05/2002;08/05/2006;Universidad Nacional Autónoma de México (UNAM) ;Mexico;Medicine;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/abel_pacheco_de_la_espriella#;08/11/2022
Abel Pacheco de la Espriella ;Costa Rica;GRULAC;Presidentialism;08/05/2002;08/05/2006;Louisiana State University;United States;Psychiatry;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/abel_pacheco_de_la_espriella#;08/11/2022
Miguel Ángel Rodríguez Echeverría ;Costa Rica;GRULAC;Presidentialism;08/05/1998;08/05/2002;Universidad de Costa Rica ;Costa Rica;Economy and Social Sciences;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/miguel_angel_rodriguez_echeverria;08/11/2022
Miguel Ángel Rodríguez Echeverría ;Costa Rica;GRULAC;Presidentialism;08/05/1998;08/05/2002;University of California, Berkeley;United States;Economics;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/miguel_angel_rodriguez_echeverria;08/11/2022
José María Figueres Olsen ;Costa Rica;GRULAC;Presidentialism;08/05/1994;08/05/1998;Harvard University - Kennedy School of Government;United States;Public Administration (MA);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/jose_maria_figueres_olsen;08/11/2022
José María Figueres Olsen ;Costa Rica;GRULAC;Presidentialism;08/05/1994;08/05/1998;United States Military Academy of West Point;United States;Industrial Engineering;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/jose_maria_figueres_olsen;08/11/2022
Rafael Ángel Calderón Fournier;Costa Rica;GRULAC;Presidentialism;08/05/1990;08/05/1994;Universidad de Costa Rica ;Costa Rica;Law ;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/costa_rica/rafael_angel_calderon_fournier;08/11/2022
Raúl Modesto Castro Ruz ;Cuba;GRULAC;One-party socialist republic;19/04/2011;19/04/2021;Universidad de La Habana;Cuba;Social Sciences;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/cuba/raul_castro_ruz;08/11/2022
Fidel Alejandro Castro Ruz ;Cuba;GRULAC;One-party socialist republic;03/10/1965;19/04/2011;Universidad de La Habana;Cuba;Law;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/cuba/fidel_castro_ruz;08/11/2022
Roosevelt Skerrit;Dominica ;GRULAC;Parliamentarism;08/01/2004;-;New Mexico State University ;United States;-;http://www.caribbeanelections.com/knowledge/biography/bios/skerrit_roosevelt.asp;14/11/2022
Roosevelt Skerrit;Dominica ;GRULAC;Parliamentarism;08/01/2004;-;University of Mississippi;United States;English and Psychology;http://www.caribbeanelections.com/knowledge/biography/bios/skerrit_roosevelt.asp;14/11/2022
Pierre Charles ;Dominica ;GRULAC;Parliamentarism;03/10/2000;06/01/2004;Dominican Cadet Corps;Dominica;-;http://www.caribbeanelections.com/knowledge/biography/bios/charles_pierre.asp;14/11/2022
Roosevelt Bernard Douglas ;Dominica ;GRULAC;Parliamentarism;03/02/2000;01/10/2000;McGill University;Canada;-;http://www.caribbeanelections.com/knowledge/biography/bios/douglas_roosevelt.asp;14/11/2022
Edison Chenfil James ;Dominica ;GRULAC;Parliamentarism;14/06/1995;03/02/2000;North East London Polytechnic;United Kingdom;Botany and Biochemistry;http://www.caribbeanelections.com/knowledge/biography/bios/james_edison.asp;14/11/2022
Edison Chenfil James ;Dominica ;GRULAC;Parliamentarism;14/06/1995;03/02/2000;Imperial College (University of London);United Kingdom;Technology of Crop Protection (M.Sc.);http://www.caribbeanelections.com/knowledge/biography/bios/james_edison.asp;14/11/2022
Mary Eugenia Charles;Dominica ;GRULAC;Parliamentarism;21/07/1980;14/06/1995;University of Toronto ;Canada;Law;http://www.caribbeanelections.com/knowledge/biography/bios/charles_mary_eugenia.asp;14/11/2022
Mary Eugenia Charles;Dominica ;GRULAC;Parliamentarism;21/07/1980;14/06/1995;London School of Economics and Political Science;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/charles_mary_eugenia.asp;14/11/2022
Danilo Medina Sánchez ;Dominican Republic ;GRULAC;Presidentialism;16/08/2012;16/08/2020;Instituto Tecnológico Santo Domingo (INTEC);Dominican Republic ;Chemistry;https://web.archive.org/web/20171230114528/https://acento.com.do/2012/actualidad/12681-profesor-gneco-demostro-que-danilo-plagio-tesis-y-no-es-ingeniero-quimico/;14/11/2022
Leonel Antonio Fernández Reyna ;Dominican Republic ;GRULAC;Presidentialism;16/08/2004;16/08/2012;Universidad Autónoma de Santo Domingo (UASD);Dominican Republic ;Law;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/republica_dominicana/leonel_fernandez_reyna/(language)/esl-ES;14/11/2022
Rafael Hipólito Mejía Domínguez ;Dominican Republic ;GRULAC;Presidentialism;16/08/2000;16/08/2004;Instituto Politécnico Loyola;Dominican Republic ;Agronomy;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/republica_dominicana/hipolito_mejia_dominguez/(language)/esl-ES;14/11/2022
Rafael Hipólito Mejía Domínguez ;Dominican Republic ;GRULAC;Presidentialism;16/08/2000;16/08/2004;North Carolina State University;United States;-;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/republica_dominicana/hipolito_mejia_dominguez/(language)/esl-ES;14/11/2022
Leonel Antonio Fernández Reyna ;Dominican Republic ;GRULAC;Presidentialism;16/08/1996;16/08/2000;Universidad Autónoma de Santo Domingo (UASD);Dominican Republic ;Law;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/republica_dominicana/leonel_fernandez_reyna/(language)/esl-ES;14/11/2022
Joaquín Antonio Balaguer Ricardo ;Dominican Republic ;GRULAC;Presidentialism;16/08/1986;16/08/1996;Universidad Autónoma de Santo Domingo (UASD) ;Dominican Republic ;Law;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/republica_dominicana/joaquin_balaguer_ricardo/(language)/esl-ES;14/11/2022
